PARTY 3
8, 10; 6, 8 | 2, 4; 5, 7 | 8, 10; 6, 8 | 4, 7; 8, 10 | 8, 10; 2, 5
Wonderful Team, 75
360000
PL3, Hana, 72, 28, 83, 24, 24, 81, 99, 23, 93, 46
P3C1, Han, 34, 24, 69, 10, 59, 92, 83, 82, 28, 23
P3C2, Leo, 94, 32, 32, 85, 38, 38, 29, 49, 32, 19
P3C3, Tia, 83, 32, 72, 24, 45, 82, 74, 81, 94, 13
P3C4, Tom, 24, 43, 46, 24, 82, 38, 27, 58, 35, 23
P3C5, Zoe, 21, 32, 83, 54, 22, 24, 46, 24, 28, 83
P3C6, Mat, 83, 83, 13, 43, 25, 56, 57, 78, 29, 37
P3C7, Max, 27, 45, 33, 43, 53, 46, 77, 98, 19, 38
P3C8, Oda, 38, 92, 17, 24, 35, 56, 47, 68, 49, 23
P3C9, Rex, 23, 32, 24, 84, 91, 24, 72, 72, 15, 27
P3C10, Sam, 37, 27, 84, 61, 27, 83, 71, 73, 27, 87
