PARTY 2
3, 6; 7, 10 | 8, 9; 6, 8 | 3, 6; 7, 10 | 3, 6; 7, 10 | 3, 6; 7, 10
Amazing Team, 65
150000
PL2, Rana, 37, 82, 61, 47, 81, 83, 91, 84, 67, 97
P2C1, Shu, 13, 32, 35, 65, 50, 56, 23, 45, 93, 45
P2C2, Kai, 35, 24, 37, 28, 37, 18, 18, 27, 79, 81
P2C3, Ray, 47, 39, 24, 83, 81, 82, 29, 92, 37, 28
P2C4, Kim, 34, 43, 24, 74, 39, 82, 92, 34, 24, 27
P2C5, Iva, 82, 38, 24, 25, 83, 73, 18, 28, 27, 27
P2C6, Jad, 27, 32, 53, 84, 25, 46, 74, 18, 91, 12
P2C7, Set, 23, 43, 32, 54, 75, 36, 97, 28, 39, 56
P2C8, Joe, 81, 42, 24, 24, 74, 13, 19, 82, 93, 12
P2C9, Jon, 38, 13, 35, 24, 89, 28, 25, 84, 91, 20
P2C10, Oda, 82, 83, 82, 42, 45, 26, 47, 78, 99, 54
