PARTY 1
4, 6; 3, 5 | 8, 9; 3, 5 | 2, 6; 5, 10 | 2, 6; 5, 10 | 8, 10; 7, 10
Dream Team, 80
120000
PL1, Jake, 80, 60, 41, 48, 28, 38, 89, 92, 28, 27
P1C1, Asa, 28, 56, 93, 18, 18, 38, 91, 22, 18, 82
P1C2, Aya, 22, 43, 72, 84, 91, 72, 38, 82, 27, 60
P1C3, Ann, 27, 81, 34, 43, 45, 82, 91, 82, 34, 98
P1C4, Ari, 24, 63, 43, 17, 57, 26, 78, 58, 89, 30
P1C5, Ava, 34, 22, 34, 74, 65, 26, 57, 28, 89, 10
P1C6, Bob, 41, 12, 93, 74, 35, 46, 87, 88, 19, 25
P1C7, Che, 74, 25, 17, 24, 68, 81, 91, 78, 29, 10
P1C8, Yui, 21, 32, 53, 74, 15, 86, 17, 88, 29, 78
P1C9, Eli, 23, 23, 34, 64, 75, 86, 17, 38, 19, 88
P1C10, Geo, 45, 55, 22, 44, 56, 77, 87, 98, 89, 20
